,Price in Rupees,Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year)
173,76,3,5,6,1,10,4,22,1
174,93,4,5,6,1,26,6,34,1
175,66,2,4,6,1,19,3,30,1
176,25,0,3,5,1,5,3,14,1
177,26,1,3,2,1,5,3,5,0
178,31,0,3,2,1,8,3,22,1
179,25,0,3,4,1,5,3,13,0
180,40,1,3,6,1,19,3,41,1
181,40,1,3,6,1,19,3,41,1
182,37,1,3,6,1,8,3,23,0
183,29,0,3,5,1,5,3,22,1
184,40,1,3,6,1,8,4,41,1
185,40,2,4,5,1,18,4,22,1
186,40,2,4,5,1,8,4,24,1
187,33,0,3,6,1,5,3,15,1
188,28,0,3,2,1,8,3,49,1
189,22,0,2,5,1,2,2,7,0
190,29,1,3,5,1,7,2,22,0
191,33,0,3,6,1,5,3,15,1
192,19,1,3,5,1,7,3,22,0
193,23,0,2,2,1,2,3,7,0
194,31,1,3,2,1,8,3,22,0
195,31,1,3,2,1,5,3,15,0
196,31,1,3,2,1,5,3,41,0
197,4,0,2,5,1,2,3,5,1
198,37,1,3,2,1,7,4,22,0
199,34,0,3,6,1,5,3,15,1
200,18,0,2,2,1,2,3,5,0
201,31,0,3,2,1,8,3,22,1
202,125,4,5,6,1,31,6,41,1
203,85,2,5,6,1,24,4,43,1
204,99,3,5,6,1,27,4,49,1
205,99,3,5,6,1,27,4,49,1
206,76,3,5,6,1,10,4,22,1
207,101,3,5,6,1,13,4,25,1
208,85,3,5,6,1,22,4,46,1
209,103,3,5,6,1,30,9,35,1
