,Price in Rupees,Ram,Rom,Expandable_GB/TB,Dual_sim,Screen_in_inch,Secondary_Camera(MP),Battery_details,Warranty(Year)
366,114,3,6,6,1,32,6,42,1
367,129,4,6,6,1,31,6,41,1
368,129,4,6,6,1,31,6,41,1
369,72,3,5,5,1,16,5,32,0
370,125,4,5,6,1,31,6,41,1
371,125,4,5,6,1,31,6,41,1
372,126,4,6,6,1,20,7,41,1
373,103,3,5,6,1,30,9,35,1
374,103,3,5,6,1,30,9,35,1
375,124,4,5,6,1,32,10,41,1
376,72,3,5,5,1,16,5,32,0
377,72,3,5,5,1,16,5,32,0
378,129,4,6,6,1,31,6,41,1
379,129,4,6,6,1,31,6,41,1
380,114,3,6,6,1,32,6,42,1
381,114,3,6,6,1,32,6,42,1
382,126,4,6,6,1,20,7,41,1
383,125,4,5,6,1,31,6,41,1
384,125,4,5,6,1,31,6,41,1
385,124,4,5,6,1,32,10,41,1
386,124,4,5,6,1,32,10,41,1
387,103,3,5,6,1,30,9,35,1
388,103,3,5,6,1,30,9,35,1
389,108,3,6,6,1,27,4,49,1
390,108,3,6,6,1,27,4,49,1
391,105,3,5,8,1,29,6,41,1
392,114,4,5,6,1,26,9,34,1
393,114,4,5,6,1,26,9,34,1
394,114,4,5,6,1,26,9,34,1
395,118,4,6,6,1,31,6,37,0
396,116,4,6,6,1,31,6,37,0
397,140,5,6,6,1,28,3,36,1
398,99,3,5,6,1,22,6,46,1
399,135,5,7,6,1,20,7,41,1
400,147,5,6,6,1,33,6,49,1
401,147,5,6,7,1,33,6,49,1
402,140,5,6,6,1,28,3,36,1
403,150,3,5,5,1,10,4,22,1
404,121,4,5,5,1,26,4,36,0
405,150,4,6,6,1,28,7,41,1
406,149,6,5,5,1,9,7,41,1
407,149,7,5,5,1,9,7,41,1
408,105,3,5,8,1,29,6,41,1
409,105,3,5,8,1,29,6,41,1
410,107,3,5,6,1,29,6,49,0
411,121,4,5,6,1,26,6,36,0
412,110,3,5,6,1,29,6,49,0
413,137,7,5,5,1,4,7,41,1
414,134,4,6,6,1,28,3,36,1
415,140,5,6,6,1,28,3,36,1
416,150,3,5,5,1,10,4,22,1
417,148,4,5,6,1,26,4,31,0
418,150,4,6,6,1,9,6,22,1
419,150,2,4,5,1,6,4,22,1
420,142,4,6,8,1,26,8,39,1
421,123,4,5,5,1,18,8,34,0
422,150,3,5,0,1,9,3,15,1
423,103,3,5,6,1,18,6,34,1
424,95,3,5,8,1,18,4,31,1
425,103,3,5,6,1,18,6,34,1
426,95,3,5,8,1,18,4,31,1
427,82,2,4,6,1,10,4,22,1
428,40,1,3,6,1,8,4,41,1
429,56,2,4,6,1,8,4,41,1
430,103,2,4,5,1,29,4,45,1
431,62,2,4,5,1,6,4,41,1
432,62,2,4,6,1,12,5,22,1
433,80,3,5,6,1,17,4,38,1
434,62,2,4,5,1,6,4,41,1
435,40,1,3,6,1,8,4,41,1
436,80,3,5,6,1,17,4,38,1
437,95,3,5,8,1,18,4,31,1
438,82,2,4,6,1,10,4,22,1
439,150,3,5,0,1,9,3,15,1
440,150,2,4,5,1,6,4,22,1
441,150,2,4,5,1,6,4,22,1
442,140,5,6,6,1,29,9,36,1
443,148,4,5,6,1,26,4,31,0
444,148,4,5,6,1,26,4,31,0
445,125,4,5,6,1,31,6,41,1
446,140,5,6,6,1,29,9,36,1
447,140,5,6,6,1,28,3,36,1
448,139,7,5,6,1,4,3,36,1
449,146,7,5,6,1,9,3,36,1
450,139,7,5,6,1,4,3,36,1
451,139,7,5,6,1,4,3,36,1
452,121,4,5,5,1,26,3,36,0
453,119,3,5,6,1,17,6,41,0
454,146,7,5,6,1,9,6,41,1
455,137,7,5,6,1,4,6,41,1
456,143,2,5,5,1,6,2,40,1
457,134,4,6,6,1,28,3,36,1
458,136,4,6,8,1,34,10,47,1
459,134,4,6,6,1,28,3,36,1
460,136,4,6,8,1,34,10,47,1
461,142,4,6,8,1,26,8,39,1
462,123,4,5,5,1,18,8,34,0
463,130,4,6,6,1,20,7,34,0
464,8,0,2,5,1,2,2,5,1
465,57,2,4,4,1,9,4,28,0
466,8,0,2,5,1,2,2,5,0
467,7,0,2,5,1,2,2,5,0
468,31,0,3,2,1,5,3,10,0
469,143,4,5,0,1,28,11,49,1
470,76,3,5,6,1,10,4,22,1
471,76,3,5,6,1,10,4,22,1
472,76,3,5,6,1,10,4,22,1
473,56,2,4,6,1,8,4,41,1
474,62,2,4,6,1,12,5,22,1
475,80,2,4,5,1,29,4,45,1
476,141,2,4,5,1,18,3,41,0
